MAG,LAT,LON,DEPTH,EVID
3.0000,36.9820,-121.4690,4.0000,3229240
4.5000,38.6810,-122.7430,7.0000,3229333
3.2000,37.9080,-121.9760,16.0000,3229465
3.3000,37.9070,-121.9740,16.0000,3229467
4.4400,34.1990,-116.4380,0.0000,3229496
3.0100,34.1780,-116.4290,0.5000,3229665
3.6000,36.6400,-116.2010,5.0000,3229818
3.4800,34.1560,-116.4340,7.1000,3229998
4.2400,35.7880,-117.6630,6.6000,3230334
4.2000,37.0970,-121.5140,8.0000,3230627
3.8000,37.1070,-121.5200,7.0000,3230698
3.3800,35.8000,-117.6360,4.8000,3230725
3.2300,32.4540,-115.4270,6.0000,3231088
3.7100,37.6010,-118.8810,6.0000,3232009
3.2700,37.5340,-118.9010,6.0000,3231113
3.0600,37.5320,-118.8920,6.0000,3231393
5.7500,35.7610,-117.6380,5.4000,3231786
4.2100,35.7290,-117.6110,10.2000,3231937
4.0000,35.7550,-117.6290,8.6000,3231943
3.6500,35.7740,-117.6630,7.8000,3231957
3.2800,35.7550,-117.6540,5.5000,3231729
3.0700,35.7740,-117.6520,9.6000,3231889
3.8900,35.7810,-117.6660,5.3000,3231731
3.3800,35.7750,-117.6400,7.7000,3231734
3.0700,35.7500,-117.6380,5.4000,3231789
3.1500,35.7690,-117.6500,5.5000,3231847
3.3100,35.7660,-117.6490,6.4000,3231891
3.0300,35.7640,-117.6550,6.6000,3231920
3.0900,35.7660,-117.6450,5.5000,3231938
3.0200,35.7830,-117.6560,8.9000,3232022
3.8800,35.7590,-117.6370,5.1000,3232030
4.0200,35.7560,-117.6330,5.4000,3232031
3.0800,35.7580,-117.6360,4.8000,2219646
3.2500,35.7580,-117.6380,3.8000,2219647
3.0300,35.7500,-117.6410,5.4000,3232080
3.6400,35.7400,-117.6330,5.3000,2219928
3.0500,33.4180,-118.0550,6.0000,3232201
3.4300,35.7690,-117.6520,6.0000,3232337
4.0100,35.7610,-117.6430,5.4000,3232380
4.4000,38.7430,-118.5790,20.0000,3232605
3.8000,36.8150,-121.2030,8.0000,3232622
3.0000,35.7660,-117.6520,7.4000,3232771
3.1000,37.4810,-118.8800,6.0000,3232961
3.4500,34.2510,-116.4360,2.8000,3233047
3.7000,35.7910,-117.6600,6.3000,3233354
3.4400,32.3230,-115.2570,6.0000,3233470
3.5600,35.8080,-117.6190,8.8000,3233606
4.9000,35.8090,-117.6160,9.4000,3233618
3.1800,35.8040,-117.6180,8.8000,3233652
3.0600,35.8120,-117.6170,8.3000,3233660
3.4900,35.7380,-117.6370,5.3000,3233719
4.2000,36.5770,-121.1750,9.0000,2221202
3.0500,35.7670,-117.6430,11.0000,3234527
3.4600,35.7330,-117.6270,5.2000,3234637
3.5300,35.8100,-117.6400,4.4000,3234672
3.4400,34.9370,-116.7630,0.5000,3235183
3.0100,35.7330,-117.6290,5.2000,3235435
3.1500,35.7380,-117.6270,5.2000,3235514
3.8300,35.8100,-117.6460,4.7000,3235521
3.3000,35.7840,-117.6260,3.2000,3235778
3.7300,34.2440,-118.6810,14.1000,3236293
3.1100,35.7690,-117.6290,5.3000,3236410
3.1300,35.7900,-117.6660,7.2000,3236439
3.2600,35.7430,-117.6380,5.5000,3236469
3.2500,35.7580,-117.6380,5.4000,3236478
3.5900,35.7580,-117.6360,5.4000,3236490
3.3700,35.7660,-117.6300,5.3000,3236716
3.0200,35.7630,-117.6360,5.1000,3236887
3.4900,35.7990,-117.6330,5.1000,3237625
3.0000,36.5950,-121.1880,5.0000,3237635
3.4700,33.2460,-116.1280,13.9000,3237662
3.0000,37.1910,-121.5860,7.0000,3238297
3.5000,38.8110,-119.6790,6.0000,3238500
3.0100,35.7420,-117.6290,5.0000,3238765
4.1600,35.7420,-117.6310,3.7000,3238772
3.8400,35.7420,-117.6340,5.1000,3238773
3.1800,35.7360,-117.6300,5.2000,2221267
3.2800,35.7340,-117.6290,4.9000,3238774
3.3900,35.7300,-117.6310,4.6000,2221268
3.2300,35.7850,-117.6570,6.5000,3239110
3.8500,34.1380,-116.4330,2.4000,3239495
3.0500,37.4600,-118.8080,2.8000,3239590
3.2100,35.7640,-117.6280,11.7000,3239900
3.2900,38.2700,-118.7850,6.0000,3240832
3.0200,35.3460,-118.5720,6.0000,3240980
3.4100,33.9610,-117.9810,16.7000,3241555
3.2100,34.4020,-116.4730,3.8000,3242385
3.0100,34.0490,-117.2660,15.4000,3242736
3.3000,36.7010,-121.3320,5.0000,3242823
3.7000,36.7030,-121.3330,5.0000,3243015
4.6000,39.6720,-119.9800,5.0000,3243273
3.6000,39.6900,-119.9840,5.0000,3243290
3.6000,39.7000,-120.0150,5.0000,3243401
3.8000,39.6830,-119.9960,5.0000,3243552
3.3000,37.1150,-115.7300,5.0000,3243672
3.0000,36.5680,-121.1560,3.0000,3244199
3.3000,37.1470,-115.7260,5.0000,3244315
3.1000,36.6990,-121.3290,5.0000,3244503
3.1000,36.6980,-121.3280,4.0000,3244506
3.3000,35.4300,-117.2630,8.2000,3244857
3.8000,36.7940,-121.5190,8.0000,3245051
4.4000,36.8010,-121.5240,8.0000,3245081
3.4000,37.1400,-115.7220,5.0000,3245232
3.8100,36.4600,-115.3810,5.0000,3245150
3.3500,35.7520,-117.6350,5.4000,3245161
3.3200,35.7860,-117.6840,5.5000,3245191
